id,source,target_sign,context_before,context_after,transliteration,translation,role,notes
real_000031_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,V31A,=k,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 V31A
real_000032_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,X1 B1 Z2,rmT.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 X1 B1 Z2
real_000032_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,loaf,A1,B1 Z2,rmT.w,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A1 X1 B1 Z2
real_000033_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,X1 B1 Z2,rmT.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 X1 B1 Z2 X1 Z7
real_000033_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,loaf,A1,B1 Z2 X1,rmT.w,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A1 X1 B1 Z2 X1 Z7
real_000033_004,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,loaf,X1 B1 Z2,Z7,rmT.w,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A1 X1 B1 Z2 X1 Z7
real_000034_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,Z1,=i,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 Z1
real_000034_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,A1,,=i,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 Z1
real_000035_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,Z2,wSb,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 Z2
real_000036_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,Z2 D2 Z1,Hr-nb,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 Z2 D2 Z1 V30 A1 B1 Z2
real_000036_003,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,A1 Z2 D2,V30 A1 B1,Hr-nb,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 Z2 D2 Z1 V30 A1 B1 Z2
real_000036_005,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,D2 Z1 V30,B1 Z2,Hr-nb,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 Z2 D2 Z1 V30 A1 B1 Z2
real_000037_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,Z3A,=i,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 Z3A
real_000038_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,Z4B,=i,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 Z4B
real_000039_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,,Z5,=i,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A1 Z5 Ff100
real_000043_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A12,,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 A1
real_000044_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A12,B1 Z3,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 A1 B1 Z3
real_000045_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A12,Z2,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 A1 Z2
real_000046_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A12,Z3,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 A1 Z3
real_000047_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A12,Z3A,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 A1 Z3A
real_000049_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A12,Z2,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 Ff1 A1 Z2
real_000053_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A12 G43,Z3,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 G43 A1 Z3
real_000055_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,A12 O49,,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 O49 Z1 2
real_000058_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,A12,A1 Z2,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 Z1 A1 Z2
real_000058_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A12 Z1,Z2,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 Z1 A1 Z2
real_000059_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,A12,Z3A,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 Z1 Z3A
real_000061_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A12 Z2,,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 Z2 A1
real_000062_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A12 Z2,Z2,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 Z2 A1 Z2
real_000064_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A12 Z3,,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 Z3 A1
real_000065_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A12 Z3,Z2,mSa.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 Z3 A1 Z2
real_000068_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A12 Z7,Z2,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 Z7 A1 Z2
real_000069_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A12 Z7,Z3,mSa,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A12 Z7 A1 Z3
real_000075_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,loaf,A14,,mwt,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A14 X1
real_000082_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A17,,Sri,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A17 A1
real_000083_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A17,B1 Z2,Xrd.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A17 A1 B1 Z2
real_000084_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A17,B1 Z3A,Sri.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A17 A1 B1 Z3A
real_000085_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A17,Z2,Sri.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A17 A1 Z2
real_000090_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A17 G43,B1 Z3,Xrd.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A17 G43 A1 B1 Z3
real_000091_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A17 G43,Z2,Xrd.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A17 G43 A1 Z2
real_000093_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,reed,A17,Z7 Z30 Z30,Sri,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A17 M17 Z7 Z30 Z30 A1
real_000093_005,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,Z7 Z30 Z30,,Sri,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A17 M17 Z7 Z30 Z30 A1
real_000094_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,water,A17,M17 A2 O4,Sri.t-n-ihi,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A17 N35 M17 A2 O4 Ff1 Z5 Ff100 M17 Ff1 A17 Ff100
real_000094_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,reed,A17 N35,A2 O4 Z5,Sri.t-n-ihi,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A17 N35 M17 A2 O4 Ff1 Z5 Ff100 M17 Ff1 A17 Ff100
real_000094_003,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A2_man_hand_to_mouth,A17 N35 M17,O4 Z5 M17,Sri.t-n-ihi,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A17 N35 M17 A2 O4 Ff1 Z5 Ff100 M17 Ff1 A17 Ff100
real_000094_006,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,reed,A2 O4 Z5,A17,Sri.t-n-ihi,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A17 N35 M17 A2 O4 Ff1 Z5 Ff100 M17 Ff1 A17 Ff100
real_000095_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,water,A17,M17 O4 Z5,Sri.t-n-ihi,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A17 N35 M17 O4 Ff1 Z5 Ff100 M17 Ff1 A17 Ff100
real_000095_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,reed,A17 N35,O4 Z5 M17,Sri.t-n-ihi,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A17 N35 M17 O4 Ff1 Z5 Ff100 M17 Ff1 A17 Ff100
real_000095_005,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,reed,M17 O4 Z5,A17,Sri.t-n-ihi,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A17 N35 M17 O4 Ff1 Z5 Ff100 M17 Ff1 A17 Ff100
real_000096_003,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,A17 N35A N36,N23,nwn,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A17 N35A N36 Z1 N23
real_000097_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,loaf,A17,,Sri.t,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A17 X1
real_000106_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A17 Z5,,Xrd,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A17 Z5 A1
real_000107_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A17 Z7,B1 Z2,Xrd.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A17 Z7 A1 B1 Z2
real_000108_004,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,Z7 N35A N36,N23,nwn,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A17 Z7 N35A N36 Z1 N23
real_000110_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A2_man_hand_to_mouth,A17A,,Hms,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A17A A2
real_000112_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,loaf,A17B,,Xrd.t,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A17B X1
real_000115_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A19,,wr,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 A1
real_000116_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A19,X1 Z7,wr,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 A1 X1 Z7
real_000117_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A19,Z2,wr.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 A1 Z2
real_000121_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,mouth,A19,,wr,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A19 D21
real_000123_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,mouth,A19 G36,Z5,wr,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A19 Ff1 G36 D21 Z5
real_000128_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A19 G43,Z2,wr.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 G43 A1 Z2
real_000129_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A19 G43,Z3,wr.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 G43 A1 Z3
real_000136_003,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A19 M17 M17,Z2,wr.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 M17 M17 A1 Z2
real_000139_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,water,A19,N37 Z7 M3,bnS,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A19 N35 N37 Z7 M3 Z2 O1
real_000140_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,loaf,A19 Q3,V28 A1,wr-ptH,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A19 Q3 X1 V28 A1
real_000140_003,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,V28_wick,A19 Q3 X1,A1,wr-ptH,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A19 Q3 X1 V28 A1
real_000140_004,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,Q3 X1 V28,,wr-ptH,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 Q3 X1 V28 A1
real_000141_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A19 T14,,wr,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 T14 A1
real_000142_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A19 T14,N25,wr,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 T14 A1 N25
real_000144_003,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A19 T14 N25,,wr,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 T14 N25 A1
real_000145_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,loaf,A19,,iAw.t,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A19 X1
real_000147_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,stroke,A19,G7,wr,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 Z1 G7
real_000151_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A19 Z7,,wr,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 Z7 A1
real_000152_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A19 Z7,Z2,wr.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 Z7 A1 Z2
real_000153_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A19 Z7,Z2 U33 M17,wr.t,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 Z7 A1 Z2 U33 M17
real_000154_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A19 Z7,Z2 Z3A,wr.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 Z7 A1 Z2 Z3A
real_000157_004,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,Z7 M17 M17,Z2,wr.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A19 Z7 M17 M17 A1 Z2
real_000161_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A2_man_hand_to_mouth,,A1 Z2,aS,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A2 A1 Z2
real_000161_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A2,Z2,aS,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A2 A1 Z2
real_000162_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A2_man_hand_to_mouth,,N35A,swr,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A2 N35A
real_000163_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A2_man_hand_to_mouth,,Z2,w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A2 Z2
real_000164_000,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A2_man_hand_to_mouth,,Z3A,sxA,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A2 Z3A
real_000167_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A20 Z7,Z2,smsw,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A20 Z7 A1 Z2
real_000169_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A21,,sr,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A21 A1
real_000170_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A21,Z2,sr.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A21 A1 Z2
real_000171_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A21,Z3,sr.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A21 A1 Z3
real_000173_001,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,water,A21,M23 Z7 A1,wr-xnsw,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A21 Aa1 N35 M23 Z7 A1
real_000173_004,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,N35 M23 Z7,,wr-xnsw,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A21 Aa1 N35 M23 Z7 A1
real_000175_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,loaf,A21 G26,Z4 A1,sr-DHwty,,phonetic,Weak label confidence=0.85: phonetic value appears in transliteration without meaning evidence. Full context: A21 G26 X1 Z4 A1
real_000175_004,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,G26 X1 Z4,,sr-DHwty,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A21 G26 X1 Z4 A1
real_000176_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A21 G43,Z2,sr.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A21 G43 A1 Z2
real_000181_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A21 M17,,sr,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A21 M17 A1
real_000182_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A21 M17,Z2,sr,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A21 M17 A1 Z2
real_000183_002,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A21 M17,Z3A,sr,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A21 M17 A1 Z3A
real_000184_003,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A21 M17 M17,Z2,sr.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A21 M17 M17 A1 Z2
real_000185_003,Zenodo 10.5281/zenodo.7991241 RamsesTrainingSetModel,A1_seated_man,A21 M17 M17,Z3A,sr.w,,determinative,Weak label confidence=0.80: known semantic sign appears in a larger real word spelling without phonetic value. Full context: A21 M17 M17 A1 Z3A
